season,date,home_team,away_team,home_score,away_score,result_code,source,odds_home_pinnacle,odds_draw_pinnacle,odds_away_pinnacle,odds_home_max,odds_draw_max,odds_away_max,odds_home_avg,odds_draw_avg,odds_away_avg,imp_home_pinnacle,imp_draw_pinnacle,imp_away_pinnacle,overround_pinnacle,imp_home_max,imp_draw_max,imp_away_max,overround_max,imp_home_avg,imp_draw_avg,imp_away_avg,overround_avg
2012/2013,2012-08-06,Atlante,America,2,2,0,football-data,2.85,3.59,2.54,3.1,3.59,2.62,2.9,3.23,2.32,0.3508771929824561,0.2785515320334262,0.39370078740157477,0.023129512417457088,0.3225806451612903,0.2785515320334262,0.38167938931297707,-0.017188433492306476,0.3448275862068966,0.30959752321981426,0.4310344827586207,0.08545959218533161
2012/2013,2012-08-11,America,Atlas,1,1,0,football-data,1.77,3.82,5.17,1.8,3.82,5.2,1.72,3.47,4.65,0.5649717514124294,0.2617801047120419,0.19342359767891684,0.020175453803388255,0.5555555555555556,0.2617801047120419,0.1923076923076923,0.009643352575289699,0.5813953488372093,0.2881844380403458,0.2150537634408602,0.08463355031841546
2012/2013,2012-08-11,Chiapas,Atlante,1,2,-1,football-data,2.0,3.7,3.87,2.04,3.7,4.0,1.94,3.38,3.59,0.5,0.27027027027027023,0.25839793281653745,0.02866820308680751,0.49019607843137253,0.27027027027027023,0.25,0.010466348701642758,0.5154639175257733,0.2958579881656805,0.2785515320334262,0.08987343772487999
2012/2013,2012-08-11,Leon,Santos Laguna,3,0,1,football-data,2.02,3.71,3.8,2.2,3.71,3.8,2.06,3.37,3.31,0.49504950495049505,0.2695417789757412,0.2631578947368421,0.027749178663078355,0.45454545454545453,0.2695417789757412,0.2631578947368421,-0.012754871741962104,0.4854368932038835,0.29673590504451036,0.3021148036253776,0.08428760187377149
2012/2013,2012-08-12,Atl. San Luis,Monterrey,1,1,0,football-data,3.66,3.57,2.12,3.66,3.7,2.29,3.18,3.24,2.14,0.27322404371584696,0.2801120448179272,0.4716981132075471,0.025034201741321205,0.27322404371584696,0.27027027027027023,0.4366812227074236,-0.01982446330645915,0.31446540880503143,0.30864197530864196,0.4672897196261682,0.09039710373984167
2012/2013,2012-08-12,Pachuca,Tijuana,2,2,0,football-data,2.08,3.43,3.96,2.1,3.43,3.96,2.01,3.24,3.56,0.4807692307692307,0.29154518950437314,0.25252525252525254,0.02483967279885646,0.47619047619047616,0.29154518950437314,0.25252525252525254,0.020260918220101898,0.49751243781094534,0.30864197530864196,0.2808988764044944,0.08705328952408165
2012/2013,2012-08-12,Puebla,Cruz Azul,0,1,-1,football-data,3.07,3.39,2.5,3.07,3.41,2.52,2.79,3.17,2.42,0.32573289902280134,0.2949852507374631,0.4,0.020718149760264648,0.32573289902280134,0.29325513196480935,0.3968253968253968,0.01581342781300754,0.35842293906810035,0.31545741324921134,0.4132231404958678,0.08710349281317953
2012/2013,2012-08-12,Pumas UNAM,Toluca,1,2,-1,football-data,2.06,3.48,3.96,2.1,3.5,3.96,2.02,3.23,3.52,0.4854368932038835,0.28735632183908044,0.25252525252525254,0.02531846756821654,0.47619047619047616,0.2857142857142857,0.25252525252525254,0.01443001443001446,0.49504950495049505,0.30959752321981426,0.2840909090909091,0.08873793726121848
2012/2013,2012-08-12,Tigres UANL,Queretaro,2,2,0,football-data,1.35,5.25,10.6,1.35,5.32,11.16,1.32,4.62,9.09,0.7407407407407407,0.19047619047619047,0.09433962264150944,0.025556553858440578,0.7407407407407407,0.18796992481203006,0.08960573476702509,0.018316400319795978,0.7575757575757576,0.21645021645021645,0.11001100110011001,0.0840369751260841
2012/2013,2012-08-13,Guadalajara,Morelia,1,1,0,football-data,2.74,3.33,2.78,2.74,3.33,3.0,2.44,3.14,2.81,0.36496350364963503,0.3003003003003003,0.3597122302158274,0.024976034165762773,0.36496350364963503,0.3003003003003003,0.3333333333333333,-0.0014028627167312901,0.4098360655737705,0.3184713375796178,0.35587188612099646,0.08417928927438467
2012/2013,2012-08-18,Cruz Azul,Leon,1,1,0,football-data,2.59,3.44,2.88,2.59,3.44,3.1,2.35,3.21,2.85,0.3861003861003861,0.29069767441860467,0.3472222222222222,0.024020282741212817,0.3861003861003861,0.29069767441860467,0.3225806451612903,-0.0006212943197190235,0.425531914893617,0.3115264797507788,0.3508771929824561,0.08793558762685194
2012/2013,2012-08-18,Morelia,Puebla,3,0,1,football-data,1.73,4.07,4.95,1.75,4.07,5.5,1.66,3.64,4.82,0.5780346820809249,0.24570024570024568,0.20202020202020202,0.02575512980137251,0.5714285714285714,0.24570024570024568,0.18181818181818182,-0.0010530010530009903,0.6024096385542169,0.2747252747252747,0.20746887966804978,0.08460379294754139
2012/2013,2012-08-18,Queretaro,America,0,4,-1,football-data,3.95,3.85,1.95,4.15,3.85,2.1,3.68,3.39,1.93,0.2531645569620253,0.2597402597402597,0.5128205128205129,0.025725329522797935,0.24096385542168672,0.2597402597402597,0.47619047619047616,-0.023105408647577375,0.2717391304347826,0.2949852507374631,0.5181347150259068,0.08485909619815257
2012/2013,2012-08-18,Tijuana,Tigres UANL,2,1,1,football-data,2.95,3.21,2.67,2.95,3.3,2.67,2.8,3.08,2.44,0.3389830508474576,0.3115264797507788,0.37453183520599254,0.025041365804229,0.3389830508474576,0.30303030303030304,0.37453183520599254,0.01654518908375313,0.35714285714285715,0.3246753246753247,0.4098360655737705,0.09165424739195238
2012/2013,2012-08-19,Atl. San Luis,Guadalajara,0,1,-1,football-data,2.87,3.3,2.67,2.91,3.3,3.05,2.56,3.11,2.68,0.3484320557491289,0.30303030303030304,0.37453183520599254,0.025994193985424463,0.3436426116838488,0.30303030303030304,0.3278688524590164,-0.025458232826831684,0.390625,0.3215434083601286,0.3731343283582089,0.08530273671833744
2012/2013,2012-08-19,Atlas,Chiapas,1,1,0,football-data,2.19,3.43,3.61,2.29,3.43,3.75,2.05,3.23,3.45,0.4566210045662101,0.29154518950437314,0.2770083102493075,0.025174504319890767,0.4366812227074236,0.29154518950437314,0.26666666666666666,-0.005106921121536656,0.48780487804878053,0.30959752321981426,0.2898550724637681,0.08725747373236281
2012/2013,2012-08-19,Monterrey,Atlante,1,1,0,football-data,1.65,3.98,5.96,1.69,4.2,8.0,1.53,3.84,5.92,0.6060606060606061,0.25125628140703515,0.16778523489932887,0.02510212236697007,0.591715976331361,0.23809523809523808,0.125,-0.045188785573401,0.6535947712418301,0.2604166666666667,0.16891891891891891,0.08293035682741556
2012/2013,2012-08-19,Santos Laguna,Pumas UNAM,1,2,-1,football-data,2.22,3.35,3.62,2.24,3.4,4.05,2.02,3.27,3.56,0.4504504504504504,0.29850746268656714,0.27624309392265195,0.025201007059669545,0.4464285714285714,0.29411764705882354,0.2469135802469136,-0.012540201265691442,0.49504950495049505,0.3058103975535168,0.2808988764044944,0.08175877890850636
2012/2013,2012-08-19,Toluca,Pachuca,1,0,1,football-data,2.33,3.43,3.27,2.36,3.43,3.5,2.15,3.2,3.22,0.4291845493562232,0.29154518950437314,0.3058103975535168,0.026540136414113125,0.42372881355932207,0.29154518950437314,0.2857142857142857,0.0009882887779810723,0.46511627906976744,0.3125,0.3105590062111801,0.08817528528094742
2012/2013,2012-08-25,America,Tijuana,0,1,-1,football-data,1.88,3.67,4.54,1.93,3.75,4.65,1.79,3.5,4.15,0.5319148936170213,0.2724795640326976,0.22026431718061673,0.024658774830335517,0.5181347150259068,0.26666666666666666,0.2150537634408602,-0.00014485486656634627,0.5586592178770949,0.2857142857142857,0.24096385542168672,0.08533735901306727
2012/2013,2012-08-25,Chiapas,Queretaro,2,1,1,football-data,1.58,4.4,6.05,1.7,4.4,6.05,1.62,3.77,4.98,0.6329113924050632,0.22727272727272727,0.1652892561983471,0.025473375876137627,0.5882352941176471,0.22727272727272727,0.1652892561983471,-0.019202722411278517,0.6172839506172839,0.26525198938992045,0.2008032128514056,0.08333915285861004
2012/2013,2012-08-25,Leon,Morelia,1,3,-1,football-data,1.91,3.82,4.17,2.15,3.82,4.17,1.97,3.36,3.58,0.5235602094240838,0.2617801047120419,0.23980815347721823,0.025148467613343994,0.46511627906976744,0.2617801047120419,0.23980815347721823,-0.0332954627409725,0.5076142131979695,0.2976190476190476,0.27932960893854747,0.0845628697555647
2012/2013,2012-08-26,Guadalajara,Monterrey,1,2,-1,football-data,2.54,3.37,2.96,2.63,3.5,2.96,2.52,3.15,2.7,0.39370078740157477,0.29673590504451036,0.33783783783783783,0.028274530283923127,0.3802281368821293,0.2857142857142857,0.33783783783783783,0.0037802604342527246,0.3968253968253968,0.31746031746031744,0.37037037037037035,0.08465608465608465
